time,D4calc,kappa_motors_m8,kappa_motors_m8_user_setpoint,kappa_motors_m8_sync,kappa_motors_m8_desc,kappa_motors_m8_homf,kappa_motors_m8_dval,TEY,D3,D4,MCP,mesh,scaler_time,kappa_motors_m9,kappa_motors_m9_user_setpoint,kappa_motors_m9_sync,kappa_motors_m9_desc,kappa_motors_m9_homf,kappa_motors_m9_dval
1638577250.6613572,0.5439799331103679,72.66914238179001,72.6723967079588,0,kth,0,218.01674567383122,3637.0,9.0,9759.0,0.0,17940.0,0.1,30.7,30.7,0,tth,0,-30.7
1638577251.3305259,0.5285204991087344,72.71814238179002,72.72239670795881,0,kth,0,217.9667456738312,3700.0,10.0,9488.0,0.0,17952.0,0.1,30.8,30.8,0,tth,0,-30.8
1638577251.9664998,0.5262541152837453,72.76914238179,72.77239670795882,0,kth,0,217.9167456738312,3638.0,10.0,9431.0,0.0,17921.0,0.1,30.900000000000002,30.9,0,tth,0,-30.9
1638577252.6572337,0.5127747406002454,72.81814238179001,72.82239670795883,0,kth,0,217.8667456738312,3553.0,9.0,9192.0,0.0,17926.0,0.1,31.0,31.0,0,tth,0,-31.0
1638577253.3478816,0.5041548156823379,72.86914238179003,72.87239670795881,0,kth,0,217.8167456738312,3654.0,11.0,9040.0,0.0,17931.0,0.1,31.1,31.1,0,tth,0,-31.1
1638577254.0535417,0.4935086644007355,72.92014238179001,72.9223967079588,0,kth,0,217.76674567383122,3567.0,10.0,8857.0,0.0,17947.0,0.1,31.2,31.2,0,tth,0,-31.2
1638577254.7894075,0.48494815475526815,72.97714238179,72.97239670795881,0,kth,0,217.7167456738312,3655.0,10.0,8699.0,0.0,17938.0,0.1,31.3,31.3,0,tth,0,-31.3
1638577255.4905396,0.4767001114827202,73.01914238179,73.02239670795882,0,kth,0,217.6667456738312,3623.0,10.0,8552.0,0.0,17940.0,0.1,31.400000000000002,31.4,0,tth,0,-31.4
1638577256.1147192,0.4721525338685399,73.07714238179003,73.07239670795883,0,kth,0,217.6167456738312,3563.0,10.0,8469.0,0.0,17937.0,0.1,31.5,31.5,0,tth,0,-31.5
1638577256.7741306,0.4632172359901764,73.12214238179001,73.12239670795881,0,kth,0,217.5667456738312,3574.0,10.0,8299.0,0.0,17916.0,0.1,31.6,31.6,0,tth,0,-31.6
1638577257.44281,0.4550731108382632,73.17714238179002,73.1723967079588,0,kth,0,217.51674567383122,3515.0,11.0,8154.0,0.0,17918.0,0.1,31.7,31.7,0,tth,0,-31.7
1638577258.3281267,0.4450705797020588,73.22614238179003,73.22239670795881,0,kth,0,217.4667456738312,3500.0,9.0,7977.0,0.0,17923.0,0.1,31.8,31.8,0,tth,0,-31.8
1638577259.010011,0.43318821165438715,73.27214238179002,73.27239670795882,0,kth,0,217.4167456738312,3530.0,10.0,7761.0,0.0,17916.0,0.1,31.900000000000002,31.9,0,tth,0,-31.9
1638577259.6690726,0.4334969872796251,73.32514238179002,73.32239670795883,0,kth,0,217.3667456738312,3515.0,10.0,7770.0,0.0,17924.0,0.1,32.0,32.0,0,tth,0,-32.0
